source_key,target_key,ref_type
aga_n-etal:2021,focquaert_f-etal:2021,depends_on
agacinski:2000,bourgeois_b-havet:2000,depends_on
agamben:2017,meierhenrich-simons:2017,depends_on
agar-marshall:2015,arras-etal:2015,depends_on
agar:2013,caplan_al-arp:2013,depends_on
agarwal_r:1997,hirschberg_j-etal:1997,depends_on
agarwala_bk:1986,richardson_hes:1999,further_ref
agassi-jarvie:1987a,agassi-jarvie:1987,depends_on
agassi-jarvie:1987b,agassi-jarvie:1987,depends_on
agassi-jarvie:1987c,agassi-jarvie:1987,depends_on
agassi-jarvie:1987d,agassi-jarvie:1987,depends_on
agassi-jarvie:1987e,agassi-jarvie:1987,depends_on
agassi:1967,cohen_rs-wartofsky:1967,depends_on
agassi:1969,cohen_rs-wartofsky:1969a,depends_on
agassi:1969,goodfield_j:1969,further_ref
agassi:1969a,cohen_rs-wartofsky:1969,depends_on
agassi:1974,popper:1972,further_ref
agassi:1974c,seeger_rj-cohen:1974,depends_on
agassi:1976,kasher_a:1976,depends_on
agassi:1976a,cohen_rs-etal:1976,depends_on
agassi:1976b,cohen_rs-etal:1976a,depends_on
agassi:1976c,przelecki-etal:1976,depends_on
agassi:1980,nickles_t:1980,depends_on
agassi:1981a,drazengrmek-etal:1981,depends_on
agassi:1983,asquith-nickles:1983,depends_on
agassi:1984,andersson_g:1984,depends_on
agassi:1987a,agassi-jarvie:1987,depends_on
agassi:1987b,agassi-jarvie:1987,depends_on
agassi:1987c,shimony_a-nails:1987,depends_on
agassi:1988a,helman_dh:1988,depends_on
